HomeTeam,Date,AwayTeam
Liverpool,09/08/2019,Norwich
Bournemouth,10/08/2019,Sheffield
Burnley,10/08/2019,Southampton
Crystal Palace,10/08/2019,Everton
Leicester,10/08/2019,Wolves
Tottenham,10/08/2019,Aston Villa
Watford,10/08/2019,Brighton
West Ham,10/08/2019,Man City
Man United,11/08/2019,Chelsea
Newcastle,11/08/2019,Arsenal
Arsenal,17/08/2019,Burnley
Aston Villa,17/08/2019,Bournemouth
Brighton,17/08/2019,West Ham
Chelsea,17/08/2019,Leicester
Everton,17/08/2019,Watford
Man City,17/08/2019,Tottenham
Norwich,17/08/2019,Newcastle
Sheffield,17/08/2019,Crystal Palace
Southampton,17/08/2019,Liverpool
Wolves,17/08/2019,Man United
Aston Villa,24/08/2019,Everton
Bournemouth,24/08/2019,Man City
Brighton,24/08/2019,Southampton
Liverpool,24/08/2019,Arsenal
Man United,24/08/2019,Crystal Palace
Norwich ,24/08/2019,Chelsea
Sheffield,24/08/2019,Leicester
Tottenham,24/08/2019,Newcastle
Watford,24/08/2019,West Ham
Wolves,24/08/2019,Burnley
Arsenal,31/08/2019,Tottenham
Burnley,31/08/2019,Liverpool
Chelsea,31/08/2019,Sheffield
Crystal Palace,31/08/2019,Aston Villa
Everton,31/08/2019,Wolves
Leicester,31/08/2019,Bournemouth
Man City,31/08/2019,Brighton
Newcastle,31/08/2019,Watford
Southampton,31/08/2019,Man United
West Ham,31/08/2019,Norwich
Aston Villa,14/09/2019,West Ham
Bournemouth,14/09/2019,Everton
Brighton,14/09/2019,Burnley
Liverpool,14/09/2019,Newcastle
Man United,14/09/2019,Leicester
Norwich,14/09/2019,Man City
Sheffield,14/09/2019,Southampton
Tottenham,14/09/2019,Crystal Palace
Watford,14/09/2019,Arsenal
Wolves,14/09/2019,Chelsea
Arsenal,21/09/2019,Aston Villa
Burnley,21/09/2019,Norwich
Chelsea,21/09/2019,Liverpool
Crystal Palace,21/09/2019,Wolves
Everton,21/09/2019,Sheffield
Leicester,21/09/2019,Tottenham
Man City,21/09/2019,Watford
Newcastle,21/09/2019,Brighton
Southampton,21/09/2019,Bournemouth
West Ham,21/09/2019,Man United
Aston Villa,28/09/2019,Burnley
Bournemouth,28/09/2019,West Ham
Chelsea,28/09/2019,Brighton
Crystal Palace,28/09/2019,Norwich
Everton,28/09/2019,Man City
Leicester,28/09/2019,Newcastle
Man,28/09/2019,Arsenal
Sheffield,28/09/2019,Liverpool
Tottenham,28/09/2019,Southampton
Wolves,28/09/2019,Watford
Arsenal,05/10/2019,Bournemouth
Brighton,05/10/2019,Tottenham
Burnley,05/10/2019,Everton
Liverpool,05/10/2019,Leicester
Man City,05/10/2019,Wolves
Newcastle,05/10/2019,Man United
Norwich,05/10/2019,Aston Villa
Southampton,05/10/2019,Chelsea
Watford,05/10/2019,Sheffield
West Ham,05/10/2019,Crystal Palace
Aston Villa,19/10/2019,Brighton
Bournemouth,19/10/2019,Norwich
Chelsea,19/10/2019,Newcastle
Crystal Palace,19/10/2019,Man City
Everton,19/10/2019,West Ham
Leicester,19/10/2019,Burnley
Man United,19/10/2019,Liverpool
Sheffield,19/10/2019,Arsenal
Tottenham,19/10/2019,Watford
Wolves,19/10/2019,Southampton
Arsenal,26/10/2019,Crystal Palace
Brighton,26/10/2019,Everton
Burnley,26/10/2019,Chelsea
Liverpool,26/10/2019,Tottenham
Manchester City,26/10/2019,Aston Villa
Newcastle,26/10/2019,Wolves
Norwich,26/10/2019,Man United
Southampton,26/10/2019,Leicester
Watford,26/10/2019,Bournemouth
West Ham,26/10/2019,Sheffield
Arsenal,02/11/2019,Wolves
Aston Villa,02/11/2019,Liverpool
Bournemouth,02/11/2019,Man United
Brighton,02/11/2019,Norwich
Crystal Palace,02/11/2019,Leicester
Everton,02/11/2019,Tottenham
Man City,02/11/2019,Southampton
Sheffield,02/11/2019,Burnley
Watford,02/11/2019,Chelsea
West Ham,02/11/2019,Newcastle
Burnley,09/11/2019,West Ham
Chelsea,09/11/2019,Crystal Palace
Leicester,09/11/2019,Arsenal
Liverpool,09/11/2019,Man City
Man United,09/11/2019,Brighton
Newcastle,09/11/2019,Bournemouth
Norwich,09/11/2019,Watford
Southampton,09/11/2019,Everton
Tottenham,09/11/2019,Sheffield
Wolves,09/11/2019,Aston Villa
Arsenal,23/11/2019,Southampton
Aston Villa,23/11/2019,Newcastle
Bournemouth,23/11/2019,Wolves
Brighton,23/11/2019,Leicester
Crystal Palace,23/11/2019,Liverpool
Everton,23/11/2019,Norwich
Man City,23/11/2019,Chelsea
Sheffield,23/11/2019,Man United
Watford,23/11/2019,Burnley
West Ham,23/11/2019,Tottenham
Burnley,30/11/2019,Crystal Palace
Chelsea,30/11/2019,West Ham
Leicester City,30/11/2019,Everton
Liverpool,30/11/2019,Brighton
Man United,30/11/2019,Aston Villa
Newcastle,30/11/2019,Man City
Norwich City,30/11/2019,Arsenal
Southampton,30/11/2019,Watford
Tottenham Hotspur,30/11/2019,Bournemouth
Wolves,30/11/2019,Sheffield
Arsenal,03/12/2019,Brighton
Burnley,03/12/2019,Man City
Leicester,03/12/2019,Watford
Man United,03/12/2019,Tottenham
Sheffield,03/12/2019,Newcastle
Wolves,03/12/2019,West Ham
Chelsea,04/12/2019,Aston Villa
